VIN (1-10),County,City,Model Year,Make,Model,Electric Vehicle Type,Electric Range,Vehicle Location
5YJ3E1EBXK,King,Seattle,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),220,POINT (-122.23825 47.49461)
5YJYGDEE3L,Kitsap,Poulsbo,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),291,POINT (-122.64681 47.73689)
KM8KRDAF5P,Kitsap,Olalla,2023,HYUNDAI,IONIQ 5,Battery Electric Vehicle (BEV),0,POINT (-122.54729 47.42602)
5UXTA6C0XM,Kitsap,Seabeck,2021,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),30,POINT (-122.81585 47.64509)
JTMAB3FV7P,Thurston,Rainier,2023,TOYOTA,RAV4 PRIME,Plug-in Hybrid Electric Vehicle (PHEV),42,POINT (-122.68993 46.88897)
5YJSA1DN0C,Thurston,Olympia,2012,TESLA,MODEL S,Battery Electric Vehicle (BEV),265,POINT (-122.92333 47.03779)
WBY1Z6C30H,King,Bellevue,2017,BMW,I3,Battery Electric Vehicle (BEV),81,POINT (-122.1872 47.61001)
3MW5P9J0XN,Snohomish,Marysville,2022,BMW,330E,Plug-in Hybrid Electric Vehicle (PHEV),22,POINT (-122.1677 48.11026)
5YJ3E1EA6J,King,Kirkland,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),215,POINT (-122.22901 47.72201)
5YJ3E1EA2J,King,Redmond,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),215,POINT (-122.13158 47.67858)
1N4AZ0CP1E,King,Newcastle,2014,NISSAN,LEAF,Battery Electric Vehicle (BEV),84,POINT (-122.15734 47.48718)
5YJXCDE27L,King,Seattle,2020,TESLA,MODEL X,Battery Electric Vehicle (BEV),289,POINT (-122.30253 47.72656)
KNDCC3LD3K,King,Seattle,2019,KIA,NIRO,Plug-in Hybrid Electric Vehicle (PHEV),26,POINT (-122.30253 47.72656)
LPSED3KA8M,King,Seattle,2021,POLESTAR,PS2,Battery Electric Vehicle (BEV),233,POINT (-122.30253 47.72656)
5YJSA1H29F,Thurston,Olympia,2015,TESLA,MODEL S,Battery Electric Vehicle (BEV),208,POINT (-122.87741 47.05997)
WBY7Z6C52J,King,Kent,2018,BMW,I3,Battery Electric Vehicle (BEV),114,POINT (-122.17743 47.41185)
1N4AZ0CP2G,Kitsap,Olalla,2016,NISSAN,LEAF,Battery Electric Vehicle (BEV),84,POINT (-122.54729 47.42602)
1N4AZ0CP5F,King,Issaquah,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),84,POINT (-122.00292 47.54748)
5UXTA6C01N,Snohomish,Edmonds,2022,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),30,POINT (-122.31768 47.87166)
5YJ3E1EB5J,Yakima,Yakima,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),215,POINT (-120.60272 46.59656)
5YJ3E1EB0J,Thurston,Olympia,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),215,POINT (-122.9131 47.01359)
WBY1Z2C58F,King,Woodinville,2015,BMW,I3,Battery Electric Vehicle (BEV),81,POINT (-122.15545 47.75448)
JM3KKEHA1S,Thurston,Yelm,2025,MAZDA,CX-90,Plug-in Hybrid Electric Vehicle (PHEV),26,POINT (-122.60735 46.94239)
5YJ3E1EA8K,King,Seattle,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),220,POINT (-122.30866 47.57874)
5YJ3E1EB0K,Snohomish,Mukilteo,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),220,POINT (-122.29196 47.89908)
5YJSA1E45G,Snohomish,Bothell,2016,TESLA,MODEL S,Battery Electric Vehicle (BEV),210,POINT (-122.21061 47.83448)
1N4AZ0CP9D,King,Kent,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),75,POINT (-122.17743 47.41185)
1N4BZ0CP2H,Thurston,Olympia,2017,NISSAN,LEAF,Battery Electric Vehicle (BEV),107,POINT (-122.87741 47.05997)
1N4AZ0CP0D,Kitsap,Kingston,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),75,POINT (-122.4977 47.79802)
1G1FZ6S04K,Island,Langley,2019,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),238,POINT (-122.40618 48.0399)
YV4H600N5P,Kitsap,Poulsbo,2023,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),32,POINT (-122.64681 47.73689)
5YJ3E1EB5J,Yakima,Yakima,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),215,POINT (-120.60272 46.59656)
5YJ3E1EA4K,King,Seattle,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),220,POINT (-122.31676 47.68156)
1C4RJYE63P,Snohomish,Arlington,2023,JEEP,GRAND CHEROKEE,Plug-in Hybrid Electric Vehicle (PHEV),25,POINT (-122.1264 48.19471)
5YJSA1V24F,Yakima,Selah,2015,TESLA,MODEL S,Battery Electric Vehicle (BEV),208,POINT (-120.53145 46.65405)
LPSED3KAXM,Snohomish,Bothell,2021,POLESTAR,PS2,Battery Electric Vehicle (BEV),233,POINT (-122.21061 47.83448)
5YJ3E1EA7J,Kitsap,Bainbridge Island,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),215,POINT (-122.521 47.62728)
5YJXCBE2XL,King,Redmond,2020,TESLA,MODEL X,Battery Electric Vehicle (BEV),293,POINT (-122.13158 47.67858)
5YJ3E1EB4K,King,Redmond,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),220,POINT (-122.13158 47.67858)
1N4BZ0CP7H,Kitsap,Poulsbo,2017,NISSAN,LEAF,Battery Electric Vehicle (BEV),107,POINT (-122.64681 47.73689)
7SAYGDEE8P,Thurston,Olympia,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),0,POINT (-122.92333 47.03779)
1G1RA6S59J,Thurston,Olympia,2018,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),53,POINT (-122.9131 47.01359)
5UX43EU02R,Kitsap,Poulsbo,2024,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),39,POINT (-122.64681 47.73689)
5YJ3E1EBXJ,King,Bothell,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),215,POINT (-122.20563 47.76144)
5YJ3E1EB2R,Yakima,Yakima,2024,TESLA,MODEL 3,Battery Electric Vehicle (BEV),0,POINT (-120.52401 46.59739)
KL8CK6S02G,King,Bothell,2016,CHEVROLET,SPARK,Battery Electric Vehicle (BEV),82,POINT (-122.20563 47.76144)
5YJSA1H17E,Snohomish,Bothell,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),208,POINT (-122.21061 47.83448)
3C3CFFGEXH,King,Seatac,2017,FIAT,500,Battery Electric Vehicle (BEV),84,POINT (-122.29179 47.43473)
KNDCS3LFXP,Kitsap,Silverdale,2023,KIA,NIRO,Plug-in Hybrid Electric Vehicle (PHEV),33,POINT (-122.69275 47.65171)
1G1RA6S51J,Kitsap,Poulsbo,2018,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),53,POINT (-122.64681 47.73689)
7SAYGDEF5N,Snohomish,Bothell,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),0,POINT (-122.21061 47.83448)
5LMTJ5DZ9R,Yakima,Yakima,2024,LINCOLN,CORSAIR,Plug-in Hybrid Electric Vehicle (PHEV),28,POINT (-120.60272 46.59656)
KMHC75LJ2L,Kitsap,Bremerton,2020,HYUNDAI,IONIQ,Battery Electric Vehicle (BEV),170,POINT (-122.60915 47.62631)
5YJ3E1EB2K,Yakima,Yakima,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),220,POINT (-120.50729 46.60464)
1N4BZ1CV2N,Thurston,Olympia,2022,NISSAN,LEAF,Battery Electric Vehicle (BEV),0,POINT (-122.89166 47.03956)
5YJXCAE25L,Snohomish,Marysville,2020,TESLA,MODEL X,Battery Electric Vehicle (BEV),293,POINT (-122.1769 48.06114)
KNDJX3AE8G,Yakima,Yakima,2016,KIA,SOUL,Battery Electric Vehicle (BEV),93,POINT (-120.60272 46.59656)
KNDCR3L13R,Kitsap,Port Orchard,2024,KIA,NIRO,Battery Electric Vehicle (BEV),0,POINT (-122.63847 47.54103)
1C4RJXP63R,Thurston,Olympia,2024,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),21,POINT (-122.89166 47.03956)
5YJ3E1EB4J,King,Duvall,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),215,POINT (-121.98609 47.74068)
1N4BZ1CP6K,Kitsap,Bremerton,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),150,POINT (-122.61136 47.5752)
1G1RC6E43F,Thurston,Olympia,2015,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),38,POINT (-122.89166 47.03956)
WAUSPBFF7J,King,Burien,2018,AUDI,A3,Plug-in Hybrid Electric Vehicle (PHEV),16,POINT (-122.34102 47.46593)
ZACPDFCW7R,Thurston,Olympia,2024,DODGE,HORNET,Plug-in Hybrid Electric Vehicle (PHEV),32,POINT (-122.9131 47.01359)
7PDSGABL8P,Snohomish,Bothell,2023,RIVIAN,R1S,Battery Electric Vehicle (BEV),0,POINT (-122.18384 47.8031)
5YJXCAE29L,King,Sammamish,2020,TESLA,MODEL X,Battery Electric Vehicle (BEV),293,POINT (-122.02054 47.60326)
5YJ3E1EB7J,Thurston,Olympia,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),215,POINT (-122.89166 47.03956)
5YJYGDEE6L,Snohomish,Bothell,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),291,POINT (-122.21061 47.83448)
5YJ3E1EB6J,Island,Oak Harbor,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),215,POINT (-122.64682 48.29077)
7SAYGDEE2N,Yakima,Tieton,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),0,POINT (-120.75541 46.70257)
1N4AZ0CP4F,Thurston,Olympia,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),84,POINT (-122.87741 47.05997)
